2024-06-13 20:31:51,382 INFO    MainThread:1193 [wandb_setup.py:_flush():68] Configure stats pid to 1193
2024-06-13 20:31:51,383 INFO    MainThread:1193 [wandb_setup.py:_flush():68] Loading settings from /Users/devin/.config/wandb/settings
2024-06-13 20:31:51,383 INFO    MainThread:1193 [wandb_setup.py:_flush():68] Loading settings from /Users/devin/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/settings
2024-06-13 20:31:51,383 INFO    MainThread:1193 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2024-06-13 20:31:51,383 INFO    MainThread:1193 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-06-13 20:31:51,383 INFO    MainThread:1193 [wandb_init.py:_log_setup():478] Logging user logs to /Users/devin/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/run-20240613_203151-7khqczvv/logs/debug.log
2024-06-13 20:31:51,383 INFO    MainThread:1193 [wandb_init.py:_log_setup():479] Logging internal logs to /Users/devin/Project-Build-an-ML-Pipeline-Starter/src/eda/wandb/run-20240613_203151-7khqczvv/logs/debug-internal.log
2024-06-13 20:31:51,383 INFO    MainThread:1193 [wandb_init.py:init():518] calling init triggers
2024-06-13 20:31:51,383 INFO    MainThread:1193 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2024-06-13 20:31:51,383 INFO    MainThread:1193 [wandb_init.py:init():537] re-initializing run, found existing run on stack: nwviv8pn
2024-06-13 20:31:51,385 INFO    MainThread:1193 [wandb_run.py:_finish():1844] finishing run dmoragne/nyc_airbnb/nwviv8pn
2024-06-13 20:31:51,430 INFO    MainThread:1193 [jupyter.py:save_history():478] saving 8 cells to _session_history.ipynb
2024-06-13 20:31:51,430 INFO    MainThread:1193 [wandb_run.py:_config_callback():1249] config_cb ('_wandb', 'session_history') code/_session_history.ipynb None
2024-06-13 20:31:51,434 INFO    MainThread:1193 [jupyter.py:_save_ipynb():390] looking for notebook: src/eda/eda.ipynb
2024-06-13 20:31:51,434 INFO    MainThread:1193 [wandb_init.py:_jupyter_teardown():410] cleaning up jupyter logic
2024-06-13 20:31:51,434 INFO    MainThread:1193 [wandb_run.py:_atexit_cleanup():2070] got exitcode: 0
2024-06-13 20:31:51,434 INFO    MainThread:1193 [wandb_run.py:_restore():2053] restore
2024-06-13 20:31:51,434 INFO    MainThread:1193 [wandb_run.py:_restore():2059] restore done
2024-06-13 20:31:56,861 INFO    MainThread:1193 [wandb_run.py:_footer_history_summary_info():3427] rendering history
2024-06-13 20:31:56,861 INFO    MainThread:1193 [wandb_run.py:_footer_history_summary_info():3459] rendering summary
2024-06-13 20:31:56,872 INFO    MainThread:1193 [wandb_run.py:_footer_sync_info():3383] logging synced files
2024-06-13 20:31:56,881 INFO    MainThread:1193 [wandb_init.py:init():571] starting backend
2024-06-13 20:31:56,881 INFO    MainThread:1193 [wandb_init.py:init():575] setting up manager
2024-06-13 20:31:56,886 INFO    MainThread:1193 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-06-13 20:31:56,888 INFO    MainThread:1193 [wandb_init.py:init():582] backend started and connected
2024-06-13 20:31:56,892 INFO    MainThread:1193 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2024-06-13 20:31:56,892 INFO    MainThread:1193 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-06-13 20:31:56,892 INFO    MainThread:1193 [wandb_init.py:init():670] updated telemetry
2024-06-13 20:31:56,931 INFO    MainThread:1193 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2024-06-13 20:31:58,501 INFO    MainThread:1193 [wandb_run.py:_on_init():2121] communicating current version
2024-06-13 20:31:58,743 INFO    MainThread:1193 [wandb_run.py:_on_init():2125] got version response upgrade_message: "wandb version 0.17.1 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-06-13 20:31:58,743 INFO    MainThread:1193 [wandb_init.py:init():758] starting run threads in backend
2024-06-13 20:32:00,617 INFO    MainThread:1193 [wandb_run.py:_console_start():2101] atexit reg
2024-06-13 20:32:00,618 INFO    MainThread:1193 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2024-06-13 20:32:00,618 INFO    MainThread:1193 [wandb_run.py:_redirect():2024] Wrapping output streams.
2024-06-13 20:32:00,618 INFO    MainThread:1193 [wandb_run.py:_redirect():2046] Redirects installed.
2024-06-13 20:32:00,618 INFO    MainThread:1193 [wandb_init.py:init():798] run started, returning control to user process
